Country/Region,Province/State,Confirmed,Recovered,Deaths,Date
India,Tripura,1186,680,1,6/20/2020
India,Unknown,9127,0,0,6/20/2020
India,Uttar Pradesh,16594,9995,507,6/20/2020
India,Uttarakhand,2301,1450,27,6/20/2020
India,West Bengal,13531,7865,540,6/20/2020
India,Andaman and Nicobar Islands,48,37,0,6/21/2020
India,Andhra Pradesh,8999,4331,106,6/21/2020
India,Arunachal Pradesh,135,15,0,6/21/2020
India,Assam,5388,3360,9,6/21/2020
India,Bihar,7612,5580,53,6/21/2020
India,Chandigarh,406,316,6,6/21/2020
India,Chhattisgarh,2275,1447,11,6/21/2020
India,Dadra and Nagar Haveli and Daman and Diu,88,26,0,6/21/2020
India,Delhi,59746,33013,2175,6/21/2020
India,Goa,754,129,0,6/21/2020
India,Gujarat,27260,19349,1663,6/21/2020
India,Haryana,10635,5557,160,6/21/2020
India,Himachal Pradesh,673,425,8,6/21/2020
India,Jammu and Kashmir,5956,3382,82,6/21/2020
India,Jharkhand,2073,1406,11,6/21/2020
India,Karnataka,9150,5618,137,6/21/2020
India,Kerala,3172,1661,21,6/21/2020
India,Ladakh,837,134,1,6/21/2020
India,Madhya Pradesh,11903,9015,515,6/21/2020
India,Maharashtra,132075,65744,6170,6/21/2020
India,Manipur,841,250,0,6/21/2020
India,Meghalaya,44,33,1,6/21/2020
India,Mizoram,141,9,0,6/21/2020
India,Nagaland,211,141,0,6/21/2020
India,Odisha,5160,3720,14,6/21/2020
India,Puducherry,366,140,8,6/21/2020
India,Punjab,4074,2700,99,6/21/2020
India,Rajasthan,14930,11597,349,6/21/2020
India,Sikkim,78,25,0,6/21/2020
India,Tamil Nadu,59377,32754,757,6/21/2020
India,Telangana,7802,3731,210,6/21/2020
India,Tripura,1221,759,1,6/21/2020
India,Unknown,7832,0,0,6/21/2020
India,Uttar Pradesh,17731,10995,550,6/21/2020
India,Uttarakhand,2344,1500,27,6/21/2020
India,West Bengal,13945,8297,555,6/21/2020
India,Andaman and Nicobar Islands,48,37,0,6/22/2020
India,Andhra Pradesh,9372,4495,111,6/22/2020
India,Arunachal Pradesh,139,21,0,6/22/2020
India,Assam,5586,3521,9,6/22/2020
India,Bihar,7825,5781,55,6/22/2020
India,Chandigarh,411,322,6,6/22/2020
India,Chhattisgarh,2303,1513,12,6/22/2020
India,Dadra and Nagar Haveli and Daman and Diu,91,27,0,6/22/2020
India,Delhi,62655,36602,2233,6/22/2020
India,Goa,864,152,1,6/22/2020
India,Gujarat,27825,19909,1684,6/22/2020
India,Haryana,11025,5916,169,6/22/2020
India,Himachal Pradesh,727,437,8,6/22/2020
India,Jammu and Kashmir,6088,3531,85,6/22/2020
India,Jharkhand,2137,1469,11,6/22/2020
India,Karnataka,9399,5730,142,6/22/2020
India,Kerala,3310,1749,21,6/22/2020
India,Ladakh,847,136,1,6/22/2020
India,Madhya Pradesh,12078,9215,521,6/22/2020
India,Maharashtra,135796,67706,6283,6/22/2020
India,Manipur,898,250,0,6/22/2020
India,Meghalaya,44,37,1,6/22/2020
India,Mizoram,141,9,0,6/22/2020
India,Nagaland,280,141,0,6/22/2020
India,Odisha,5303,3863,15,6/22/2020
India,Puducherry,383,149,8,6/22/2020
India,Punjab,4235,2825,101,6/22/2020
India,Rajasthan,15232,11910,356,6/22/2020
India,Sikkim,78,29,0,6/22/2020
India,Tamil Nadu,62087,34112,794,6/22/2020
India,Telangana,8674,4005,217,6/22/2020
India,Tripura,1237,782,1,6/22/2020
India,Unknown,8015,0,0,6/22/2020
India,Uttar Pradesh,18322,11601,569,6/22/2020
India,Uttarakhand,2402,1521,28,6/22/2020
India,West Bengal,14358,8687,569,6/22/2020
India,Andaman and Nicobar Islands,50,40,0,6/23/2020
India,Andhra Pradesh,10002,4599,119,6/23/2020
India,Arunachal Pradesh,148,22,0,6/23/2020
India,Assam,5831,3762,9,6/23/2020
India,Bihar,8153,6104,56,6/23/2020
India,Chandigarh,418,322,6,6/23/2020
India,Chhattisgarh,2362,1553,12,6/23/2020
India,Dadra and Nagar Haveli and Daman and Diu,120,29,0,6/23/2020
India,Delhi,66602,39313,2301,6/23/2020
India,Goa,909,205,1,6/23/2020
India,Gujarat,28371,20513,1710,6/23/2020
India,Haryana,11520,6498,178,6/23/2020
India,Himachal Pradesh,775,443,8,6/23/2020
India,Jammu and Kashmir,6236,3642,87,6/23/2020
India,Jharkhand,2185,1520,11,6/23/2020
India,Karnataka,9721,6004,150,6/23/2020
India,Kerala,3451,1809,22,6/23/2020
India,Ladakh,932,148,1,6/23/2020
India,Madhya Pradesh,12261,9335,525,6/23/2020
